username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RandC_Prod;2016-01-26 17:56;0;0;"Happy Birthday to one of our favorite reactors on #REACT & @thefinebros !!! Happy Birthday @raekanoa #MusicandChill pic.twitter.com/UJIzofdMz5";;@thefinebros @raekanoa;#REACT #MusicandChill;"692133986399838209";https://twitter.com/RandC_Prod/status/692133986399838209
SCDaswani;2016-01-26 17:52;0;0;"@thefinebros So proud of you guys (and FineTeam) for being motivated till today! You guys had a long journey and it's about to get bigger!";;@thefinebros;;"692133156187684864";https://twitter.com/SCDaswani/status/692133156187684864
GemWarrior869;2016-01-26 17:34;0;0;"@thefinebros Congratulations guys you earned this happy 10,000,000";;@thefinebros;;"692128580155891713";https://twitter.com/GemWarrior869/status/692128580155891713
JonBertulli;2016-01-26 17:33;0;0;"@thefinebros This is such an amazing and revolutionary idea! #TheFutureIsNow https://www. youtube.com/watch?v=r2UqT6 SZ7CU ";;@thefinebros;#TheFutureIsNow;"692128176403775492";https://twitter.com/JonBertulli/status/692128176403775492
undertheirwings;2016-01-26 17:26;0;0;"@thefinebros SO excited :) I've got all my fingers crossed pic.twitter.com/CJ53mTSBNZ";;@thefinebros;;"692126413416194048";https://twitter.com/undertheirwings/status/692126413416194048
PlamenDrop;2016-01-26 17:24;0;0;"@thefinebros I really want to join. I just need to find the Reactors...";;@thefinebros;;"692126015750021120";https://twitter.com/PlamenDrop/status/692126015750021120
Captiv8labs;2016-01-26 17:22;0;1;"Exciting move for @thefinebros #FineBrothersEntertainment #InfluencerMarketing https:// twitter.com/Variety/status /692074588637757440 ";;@thefinebros;#FineBrothersEntertainment #InfluencerMarketing;"692125462550724610";https://twitter.com/Captiv8labs/status/692125462550724610
Casey_Rafn05;2016-01-26 17:17;0;0;"@thefinebros make an an elders react to gta 5 again that was so funny or have teens play rainbow six seige";;@thefinebros;;"692124327538458624";https://twitter.com/Casey_Rafn05/status/692124327538458624
Pentaholics_SA;2016-01-26 17:17;0;0;"@thefinebros @YouTube This. Is. Phenomenal.";;@thefinebros @YouTube;;"692124137070927872";https://twitter.com/Pentaholics_SA/status/692124137070927872
Bethward2706;2016-01-26 17:13;0;1;"@rhettandlink @YouTube @thefinebros agree 100% took the words right out my mouth";;@rhettandlink @YouTube @thefinebros;;"692123334146932736";https://twitter.com/Bethward2706/status/692123334146932736
wingedmisha;2016-01-26 17:09;0;0;"@rhettandlink @YouTube @thefinebros this is adorable";;@rhettandlink @YouTube @thefinebros;;"692122282441965570";https://twitter.com/wingedmisha/status/692122282441965570
mariamyasser7;2016-01-26 17:09;0;1;"@rhettandlink @YouTube @thefinebros wouldn't have said it better myself";;@rhettandlink @YouTube @thefinebros;;"692122119317110786";https://twitter.com/mariamyasser7/status/692122119317110786
Turmenica_Bro;2016-01-26 17:08;0;1;"@rhettandlink @YouTube @thefinebros Totally agreed!";;@rhettandlink @YouTube @thefinebros;;"692122053877600257";https://twitter.com/Turmenica_Bro/status/692122053877600257
rhettandlink;2016-01-26 17:08;31;379;"@YouTube @thefinebros Aww, shucks";;@YouTube @thefinebros;;"692121936281862148";https://twitter.com/rhettandlink/status/692121936281862148
emmabefun;2016-01-26 17:07;0;0;"@thefinebros @stenstorp";;@thefinebros @stenstorp;;"692121618513010688";https://twitter.com/emmabefun/status/692121618513010688
JessKarpinski;2016-01-26 17:04;0;0;"@thefinebros i know you guys love @BABYMETAL_JAPAN . are you going to see them on tour again this year?";Verona, NJ;@thefinebros @BABYMETAL_JAPAN;;"692120983134695425";https://twitter.com/JessKarpinski/status/692120983134695425
Marco14E10;2016-01-26 17:04;0;0;"@thefinebros please make an episode reacting to @Cimorelliband";;@thefinebros @Cimorelliband;;"692120905594617858";https://twitter.com/Marco14E10/status/692120905594617858
YouTube;2016-01-26 17:03;42;348;"@rhettandlink @thefinebros You guys are always gloriously entertaining.";;@rhettandlink @thefinebros;;"692120707023659010";https://twitter.com/YouTube/status/692120707023659010
obeyig12313;2016-01-26 17:01;0;0;"@thefinebros can I get a follow";;@thefinebros;;"692120285659688960";https://twitter.com/obeyig12313/status/692120285659688960
Icy_Kirby;2016-01-26 17:01;0;1;"@thefinebros Still no Kirby oh man";;@thefinebros;;"692120153853661184";https://twitter.com/Icy_Kirby/status/692120153853661184
RandC_Prod;2016-01-26 17:56;0;0;"Happy Birthday to one of our favorite reactors on #REACT & @thefinebros !!! Happy Birthday @raekanoa #MusicandChill pic.twitter.com/UJIzofdMz5";;@thefinebros @raekanoa;#REACT #MusicandChill;"692133986399838209";https://twitter.com/RandC_Prod/status/692133986399838209
SCDaswani;2016-01-26 17:52;0;0;"@thefinebros So proud of you guys (and FineTeam) for being motivated till today! You guys had a long journey and it's about to get bigger!";;@thefinebros;;"692133156187684864";https://twitter.com/SCDaswani/status/692133156187684864
