username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
laurenkathpeter;2016-02-01 17:59;0;0;"Oof. Feel bad for @thefinebros rn. https:// youtu.be/0t-vuI9vKfg via @YouTube";;@thefinebros @YouTube;;"694309231063928834";https://twitter.com/laurenkathpeter/status/694309231063928834
THlSGUYSTHELMT;2014-09-20 19:43;5;39;"@EpicBoredPerson have you ever seen "Kids say the darnedest things" @thefinebros copied @BillCosby";;@EpicBoredPerson @thefinebros @BillCosby;;"513488683874656256";https://twitter.com/THlSGUYSTHELMT/status/513488683874656256
Huvzy;2016-02-01 17:58;0;0;"@thefinebros make an apology video, because clearly you guys are almost the most hated, because it pisses me off how you guys are trying to";;@thefinebros;;"694308995801022466";https://twitter.com/Huvzy/status/694308995801022466
DanHerePE;2016-02-01 17:58;0;2;"@FuzionDroid @thefinebros If you make 2 youtube accounts and get 10 mil on them lll";;@FuzionDroid @thefinebros;;"694308994689568768";https://twitter.com/DanHerePE/status/694308994689568768
davicorn;2016-02-01 17:58;1;0;"The realtime subscribers counter of @thefinebros is a fun thing to watch - https:// akshatmittal.com/youtube-realti me/#!/TheFineBros ";Shinagawa-ku, Tokyo;@thefinebros;#;"694308852120948736";https://twitter.com/davicorn/status/694308852120948736
Nicks5231;2016-02-01 17:58;0;2;"@thefinebros I should give React World a try. It sounds like a nice step to change the community. Should I do it?";;@thefinebros;;"694308850539859968";https://twitter.com/Nicks5231/status/694308850539859968
infamou5blaze;2016-02-01 17:58;0;0;"Yo alix from @thefinebros is cute.";;@thefinebros;;"694308840058310656";https://twitter.com/infamou5blaze/status/694308840058310656
Huvzy;2016-02-01 17:58;0;0;"@thefinebros you guys should've never even made React around the world, and even make it worse with an update video, #MoreDislikesThenLikes";;@thefinebros;#MoreDislikesThenLikes;"694308796982669312";https://twitter.com/Huvzy/status/694308796982669312
FunkMasterJJ;2016-02-01 17:58;0;1;"They have lost almost 200k subs.. Wow... @thefinebros pic.twitter.com/dx0AeH9YXR";;@thefinebros;;"694308788115996672";https://twitter.com/FunkMasterJJ/status/694308788115996672
MattyMondays;2016-02-01 17:57;0;4;"@Calfreezy @thefinebros awful I apologise.";;@Calfreezy @thefinebros;;"694308624844378113";https://twitter.com/MattyMondays/status/694308624844378113
