username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
zphaze;2016-02-02 17:57;2;1;"@CruzWhobris @delawarenorth Corporate Greed is everywhere why this is not as big as #reactgate is beyond me. #ReactWorld";;@CruzWhobris @delawarenorth;#reactgate #ReactWorld;"694671072906473472";https://twitter.com/zphaze/status/694671072906473472
instagamrr;2016-02-02 17:56;0;5;"BREAKING: @TheFineBros cancel #ReactWorld yet still lose subscribers. Why? I explain it here http:// youtu.be/OHPZgyp9Tbo?a";;@TheFineBros;#ReactWorld;"694670828420599808";https://twitter.com/instagamrr/status/694670828420599808
vlogbrandon2541;2016-02-02 17:56;0;0;"I can guarantee you this month that there will be memes of FineBros losing subs because of React World .";;;;"694670759277375490";https://twitter.com/vlogbrandon2541/status/694670759277375490
01hitwonder;2016-02-02 17:55;0;0;"I hope this is the last video I have to make about @thefinebros and #reactworld https:// youtu.be/dwpeKD4xuj0";;@thefinebros;#reactworld;"694670590414815232";https://twitter.com/01hitwonder/status/694670590414815232
instagamrr;2016-02-02 17:55;3;13;"Why are @thefinebros still losing subscribers after cancelling #ReactWorld ? Explanation here: https:// youtu.be/OHPZgyp9Tbo pic.twitter.com/DlbMxxs1Sp";;@thefinebros;#ReactWorld;"694670519107469312";https://twitter.com/instagamrr/status/694670519107469312
jarad_mack;2016-02-02 17:53;0;0;"Goth Reacts to The Fine Bros - REACT WORLD https:// youtu.be/anBFIMWcta8 via @YouTube";;@YouTube;;"694669997679865856";https://twitter.com/jarad_mack/status/694669997679865856
LB_OneOfKind;2016-02-02 17:52;0;0;"I added a video to a @YouTube playlist http:// youtu.be/I0CVHokiiSE?a The Fine Bros React World , React CANCELED";;@YouTube;;"694669768780038144";https://twitter.com/LB_OneOfKind/status/694669768780038144
turntechApple;2016-02-02 17:52;0;1;"honestly everyone overreacted to thefinebro's react world thing you guys are such assholes ????";;;;"694669718322434048";https://twitter.com/turntechApple/status/694669718322434048
ExistraOG;2016-02-02 17:51;0;1;"I liked a @YouTube video from @lewspears http:// youtu.be/xYSxHMdseB8?a An In Depth Reaction To Reactworld -- LewReview";;@YouTube @lewspears;;"694669599246270464";https://twitter.com/ExistraOG/status/694669599246270464
Alphazero4um;2016-02-02 17:51;0;0;"I liked a @YouTube video from @savagezweipanda http:// youtu.be/4piNJUCsCWo?a React World Is Dead Youtube Has Won!";;@YouTube @savagezweipanda;;"694669382753112064";https://twitter.com/Alphazero4um/status/694669382753112064
